Dia;Mes;Año;Temperatura media;Humedad media;Rocío medio;Presión media;Velocidad media;Racha media;Dirección media;Precipitación mensual;Precipitación anual;Intensidad máxima por minuto;Temperatura máxima;Temperatura mínima;Humedad máxima;Humedad mínima;Presión máxima;Presión mínima;Velocidad media máxima;Racha máxima
19;Febrero;2018;9.7°C;65%;3.1°C;1017.4 hPa;0.7 km/h;2.2 km/h;2° (N);17.2 mm;17.2 mm;0.0 mm el 19 a las 23:59;15.2°C el 19 a las 14:13;4.8°C el 19 a las 07:50;86% el 19 a las 07:55;44% el 19 a las 14:53;1019.4 hPa el 19 a las 00:02;1015.2 hPa el 19 a las 16:18;9.3 km/h el 19 a las 18:16;20.4 km/h  del 101°(E) el 19 a las 18:06
20;Febrero;2018;9.2°C;66%;2.8°C;1017.0 hPa;0.7 km/h;2.3 km/h;340° (NNO);17.2 mm;17.2 mm;0.0 mm el 20 a las 23:59;15.3°C el 20 a las 14:38;4.8°C el 20 a las 08:15;84% el 20 a las 04:08;44% el 20 a las 15:35;1018.5 hPa el 20 a las 10:56;1014.9 hPa el 20 a las 23:48;9.3 km/h el 20 a las 19:28;24.1 km/h  del 335°(NNO) el 20 a las 19:27
21;Febrero;2018;5.9°C;60%;-1.9°C;1011.5 hPa;3.6 km/h;7.8 km/h;337° (NNO);17.2 mm;17.2 mm;0.0 mm el 21 a las 23:59;10.9°C el 21 a las 15:19;0.7°C el 21 a las 04:32;92% el 21 a las 05:06;39% el 21 a las 17:07;1015.2 hPa el 21 a las 01:04;1008.9 hPa el 21 a las 16:59;20.4 km/h el 21 a las 15:47;35.2 km/h  del 323°(NO) el 21 a las 17:03
22;Febrero;2018;3.9°C;53%;-5.4°C;1009.6 hPa;0.3 km/h;1.6 km/h;13° (NNE);17.2 mm;17.2 mm;0.0 mm el 22 a las 23:59;11.4°C el 22 a las 16:01;-2.9°C el 22 a las 08:47;79% el 22 a las 09:03;30% el 22 a las 14:42;1011.7 hPa el 22 a las 02:35;1007.6 hPa el 22 a las 16:43;7.4 km/h el 22 a las 13:25;16.7 km/h  del 313°(NO) el 22 a las 14:42
23;Febrero;2018;-0.9°C;60%;-7.9°C;1009.0 hPa;0.0 km/h;0.4 km/h;32° (NNE);17.2 mm;17.2 mm;0.0 mm el 23 a las 23:05;5.5°C el 23 a las 11:49;-4.3°C el 23 a las 07:29;74% el 23 a las 07:32;31% el 23 a las 11:52;1009.6 hPa el 23 a las 01:26;1006.5 hPa el 23 a las 23:05;3.7 km/h el 23 a las 11:54;7.4 km/h  del 05°(N) el 23 a las 11:53
24;Febrero;2018;3.3°C;49%;-7.3°C;1007.6 hPa;0.4 km/h;1.4 km/h;193° (SSO);17.2 mm;17.2 mm;0.0 mm el 24 a las 23:58;11.2°C el 24 a las 16:05;-3.9°C el 24 a las 08:41;73% el 24 a las 08:52;26% el 24 a las 16:03;1010.4 hPa el 24 a las 23:55;1006.2 hPa el 24 a las 01:40;9.3 km/h el 24 a las 16:38;20.4 km/h  del 176°(S) el 24 a las 16:05
25;Febrero;2018;5.1°C;48%;-6.0°C;1012.0 hPa;0.4 km/h;1.5 km/h;169° (S);17.2 mm;17.2 mm;0.0 mm el 25 a las 23:59;13.7°C el 25 a las 16:12;-2.7°C el 25 a las 07:15;76% el 25 a las 05:29;25% el 25 a las 16:44;1013.7 hPa el 25 a las 11:54;1010.3 hPa el 25 a las 00:12;9.3 km/h el 25 a las 17:32;18.5 km/h  del 160°(SSE) el 25 a las 16:17
26;Febrero;2018;7.5°C;48%;-3.8°C;1007.6 hPa;0.4 km/h;1.5 km/h;162° (SSE);17.2 mm;17.2 mm;0.0 mm el 26 a las 23:59;16.7°C el 26 a las 15:58;-0.8°C el 26 a las 07:30;73% el 26 a las 07:35;26% el 26 a las 16:01;1012.6 hPa el 26 a las 00:34;1002.7 hPa el 26 a las 18:01;9.3 km/h el 26 a las 16:28;18.5 km/h  del 177°(S) el 26 a las 16:28
27;Febrero;2018;3.2°C;61%;-4.7°C;1003.9 hPa;0.5 km/h;2.6 km/h;111° (ESE);24.0 mm;24.0 mm;0.2 mm el 27 a las 23:55;7.3°C el 27 a las 00:00;1.8°C el 27 a las 12:55;94% el 27 a las 22:49;28% el 27 a las 10:13;1004.9 hPa el 27 a las 01:45;1002.8 hPa el 27 a las 23:59;7.4 km/h el 27 a las 11:51;14.8 km/h  del 178°(S) el 27 a las 11:50
28;Febrero;2018;7.3°C;93%;6.3°C;994.8 hPa;2.6 km/h;6.2 km/h;182° (S);44.2 mm;44.2 mm;0.4 mm el 28 a las 18:54;11.7°C el 28 a las 18:16;2.8°C el 28 a las 01:00;100% el 28 a las 09:17;82% el 28 a las 18:06;1002.8 hPa el 28 a las 00:03;989.8 hPa el 28 a las 18:25;24.1 km/h el 28 a las 16:18;48.1 km/h  del 179°(S) el 28 a las 16:29
1;Marzo;2018;8.4°C;93%;7.2°C;987.5 hPa;4.2 km/h;10.3 km/h;174° (S);18.2 mm;62.4 mm;0.2 mm el 01 a las 19:44;10.8°C el 01 a las 15:59;4.8°C el 01 a las 00:00;95% el 01 a las 23:38;89% el 01 a las 23:25;996.3 hPa el 01 a las 23:53;981.4 hPa el 01 a las 15:48;14.8 km/h el 01 a las 20:14;35.2 km/h  del 210°(SSO) el 01 a las 17:42
2;Marzo;2018;5.3°C;93%;4.3°C;997.6 hPa;1.0 km/h;3.5 km/h;186° (S);29.4 mm;73.6 mm;0.2 mm el 02 a las 20:42;7.7°C el 02 a las 22:42;3.4°C el 02 a las 05:40;96% el 02 a las 21:17;90% el 02 a las 04:47;1000.4 hPa el 02 a las 11:11;994.2 hPa el 02 a las 17:11;11.1 km/h el 02 a las 22:01;27.8 km/h  del 158°(SSE) el 02 a las 22:01
3;Marzo;2018;8.1°C;89%;6.3°C;999.6 hPa;1.8 km/h;5.4 km/h;194° (SSO);34.6 mm;78.8 mm;0.2 mm el 03 a las 23:24;12.2°C el 03 a las 13:27;5.2°C el 03 a las 04:54;96% el 03 a las 00:20;67% el 03 a las 13:30;1002.3 hPa el 03 a las 11:45;996.4 hPa el 03 a las 00:04;14.8 km/h el 03 a las 03:36;29.6 km/h  del 183°(S) el 03 a las 13:23
4;Marzo;2018;8.6°C;81%;5.3°C;997.6 hPa;2.0 km/h;5.7 km/h;187° (S);45.8 mm;90.0 mm;0.4 mm el 04 a las 06:14;13.2°C el 04 a las 15:25;5.3°C el 04 a las 07:34;94% el 04 a las 11:04;50% el 04 a las 14:54;999.5 hPa el 04 a las 17:58;994.4 hPa el 04 a las 08:12;13.0 km/h el 04 a las 22:17;27.8 km/h  del 178°(S) el 04 a las 21:47
5;Marzo;2018;6.4°C;88%;4.5°C;994.5 hPa;3.0 km/h;7.8 km/h;218° (SO);51.6 mm;95.8 mm;0.2 mm el 05 a las 17:43;8.6°C el 05 a las 16:08;4.9°C el 05 a las 08:43;100% el 05 a las 06:58;74% el 05 a las 21:55;999.6 hPa el 05 a las 23:59;990.8 hPa el 05 a las 15:45;16.7 km/h el 05 a las 20:20;33.3 km/h  del 266°(O) el 05 a las 20:20
6;Marzo;2018;6.0°C;85%;3.6°C;1001.3 hPa;2.1 km/h;5.8 km/h;228° (SO);53.4 mm;97.6 mm;0.2 mm el 06 a las 13:14;9.8°C el 06 a las 15:17;3.3°C el 06 a las 05:38;95% el 06 a las 11:27;70% el 06 a las 18:28;1005.2 hPa el 06 a las 23:59;999.6 hPa el 06 a las 00:06;20.4 km/h el 06 a las 21:19;35.2 km/h  del 299°(ONO) el 06 a las 21:19
7;Marzo;2018;6.3°C;67%;0.3°C;1010.0 hPa;1.2 km/h;3.5 km/h;213° (SSO);53.4 mm;97.6 mm;0.0 mm el 07 a las 23:59;11.0°C el 07 a las 15:48;2.1°C el 07 a las 08:26;82% el 07 a las 02:00;44% el 07 a las 15:50;1012.8 hPa el 07 a las 12:22;1005.1 hPa el 07 a las 00:04;11.1 km/h el 07 a las 15:49;22.2 km/h  del 186°(S) el 07 a las 15:22
8;Marzo;2018;7.3°C;87%;5.2°C;1010.1 hPa;0.1 km/h;0.9 km/h;278° (O);56.6 mm;100.8 mm;0.2 mm el 08 a las 07:29;10.6°C el 08 a las 17:08;4.1°C el 08 a las 07:10;94% el 08 a las 10:27;71% el 08 a las 00:14;1013.7 hPa el 08 a las 23:54;1007.9 hPa el 08 a las 05:32;5.6 km/h el 08 a las 06:37;11.1 km/h  del 323°(NO) el 08 a las 06:33
9;Marzo;2018;10.1°C;93%;9.1°C;1010.9 hPa;2.5 km/h;6.3 km/h;167° (SSE);67.8 mm;112.0 mm;0.4 mm el 09 a las 22:16;11.3°C el 09 a las 23:05;8.8°C el 09 a las 00:36;95% el 09 a las 08:30;82% el 09 a las 12:30;1013.7 hPa el 09 a las 00:27;1006.4 hPa el 09 a las 21:03;14.8 km/h el 09 a las 21:20;31.5 km/h  del 169°(S) el 09 a las 21:14
10;Marzo;2018;10.1°C;92%;8.8°C;1004.0 hPa;2.8 km/h;7.5 km/h;171° (S);85.6 mm;129.8 mm;0.4 mm el 10 a las 17:49;11.6°C el 10 a las 06:32;7.3°C el 10 a las 23:57;95% el 10 a las 14:12;82% el 10 a las 17:54;1007.1 hPa el 10 a las 00:03;1002.0 hPa el 10 a las 17:41;14.8 km/h el 10 a las 08:31;27.8 km/h  del 160°(SSE) el 10 a las 17:29
11;Marzo;2018;7.3°C;87%;5.1°C;1003.3 hPa;4.9 km/h;12.2 km/h;193° (SSO);89.8 mm;134.0 mm;0.2 mm el 11 a las 15:58;10.2°C el 11 a las 13:36;5.4°C el 11 a las 09:08;94% el 11 a las 09:27;68% el 11 a las 12:57;1008.3 hPa el 11 a las 23:59;1001.0 hPa el 11 a las 04:36;18.5 km/h el 11 a las 13:10;35.2 km/h  del 229°(SO) el 11 a las 17:24
12;Marzo;2018;8.7°C;79%;5.1°C;1014.3 hPa;3.3 km/h;8.3 km/h;218° (SO);89.8 mm;134.0 mm;0.0 mm el 12 a las 23:59;13.1°C el 12 a las 15:44;5.8°C el 12 a las 08:05;92% el 12 a las 08:29;60% el 12 a las 15:47;1017.7 hPa el 12 a las 21:12;1008.2 hPa el 12 a las 00:00;14.8 km/h el 12 a las 16:11;31.5 km/h  del 173°(S) el 12 a las 15:57
13;Marzo;2018;9.2°C;85%;6.8°C;1015.7 hPa;0.9 km/h;3.3 km/h;177° (S);91.2 mm;135.4 mm;0.2 mm el 13 a las 03:57;13.6°C el 13 a las 16:39;5.8°C el 13 a las 06:55;95% el 13 a las 11:05;71% el 13 a las 16:47;1017.1 hPa el 13 a las 00:02;1013.9 hPa el 13 a las 05:29;13.0 km/h el 13 a las 11:57;29.6 km/h  del 157°(SSE) el 13 a las 12:32
14;Marzo;2018;8.5°C;93%;7.4°C;1007.0 hPa;3.0 km/h;7.5 km/h;167° (SSE);117.0 mm;161.2 mm;0.2 mm el 14 a las 22:28;12.0°C el 14 a las 16:03;5.0°C el 14 a las 06:29;96% el 14 a las 10:49;87% el 14 a las 00:01;1016.0 hPa el 14 a las 00:08;998.7 hPa el 14 a las 19:42;22.2 km/h el 14 a las 15:33;42.6 km/h  del 183°(S) el 14 a las 15:14
15;Marzo;2018;7.5°C;85%;5.1°C;1001.5 hPa;3.1 km/h;8.3 km/h;207° (SSO);118.0 mm;162.2 mm;0.2 mm el 15 a las 05:20;11.3°C el 15 a las 15:25;5.6°C el 15 a las 08:34;95% el 15 a las 09:17;63% el 15 a las 15:01;1005.6 hPa el 15 a las 23:41;998.9 hPa el 15 a las 05:00;14.8 km/h el 15 a las 15:00;31.5 km/h  del 155°(SSE) el 15 a las 14:26
16;Marzo;2018;6.4°C;84%;3.8°C;1006.1 hPa;1.5 km/h;4.7 km/h;211° (SSO);122.4 mm;166.6 mm;0.4 mm el 16 a las 14:46;11.0°C el 16 a las 14:09;4.4°C el 16 a las 08:34;94% el 16 a las 02:11;60% el 16 a las 14:22;1007.3 hPa el 16 a las 10:57;1004.4 hPa el 16 a las 17:11;16.7 km/h el 16 a las 13:52;29.6 km/h  del 184°(S) el 16 a las 13:52
17;Marzo;2018;5.3°C;82%;2.4°C;1002.2 hPa;3.0 km/h;7.2 km/h;261° (O);130.2 mm;174.4 mm;0.2 mm el 17 a las 11:26;9.1°C el 17 a las 16:30;1.8°C el 17 a las 11:25;96% el 17 a las 13:03;56% el 17 a las 16:57;1006.9 hPa el 17 a las 00:54;1000.1 hPa el 17 a las 16:39;22.2 km/h el 17 a las 16:13;31.5 km/h  del 277°(O) el 17 a las 16:45
18;Marzo;2018;7.2°C;64%;0.4°C;1005.3 hPa;4.8 km/h;9.1 km/h;284° (ONO);130.2 mm;174.4 mm;0.0 mm el 18 a las 23:59;11.4°C el 18 a las 17:04;3.3°C el 18 a las 07:17;91% el 18 a las 07:06;39% el 18 a las 17:28;1010.9 hPa el 18 a las 23:58;1000.8 hPa el 18 a las 00:24;18.5 km/h el 18 a las 12:10;29.6 km/h  del 292°(ONO) el 18 a las 13:53
19;Marzo;2018;5.3°C;75%;0.9°C;1008.7 hPa;6.2 km/h;11.8 km/h;277° (O);135.8 mm;180.0 mm;0.2 mm el 19 a las 15:43;8.3°C el 19 a las 16:42;3.2°C el 19 a las 08:39;95% el 19 a las 15:56;51% el 19 a las 19:59;1011.3 hPa el 19 a las 02:22;1003.6 hPa el 19 a las 16:36;31.5 km/h el 19 a las 17:23;44.4 km/h  del 313°(NO) el 19 a las 17:23
20;Marzo;2018;4.5°C;63%;-1.9°C;1015.0 hPa;7.4 km/h;13.7 km/h;309° (NO);135.8 mm;180.0 mm;0.0 mm el 20 a las 23:59;9.4°C el 20 a las 15:19;0.0°C el 20 a las 20:01;83% el 20 a las 07:58;0% el 20 a las 20:01;1022.4 hPa el 20 a las 23:59;1010.1 hPa el 20 a las 01:56;27.8 km/h el 20 a las 01:40;44.4 km/h  del 298°(ONO) el 20 a las 03:02
21;Marzo;2018;5.2°C;53%;-4.3°C;1024.3 hPa;3.1 km/h;6.7 km/h;331° (NNO);135.8 mm;180.0 mm;0.0 mm el 21 a las 23:59;12.3°C el 21 a las 15:31;-0.4°C el 21 a las 07:05;76% el 21 a las 07:48;29% el 21 a las 13:54;1026.8 hPa el 21 a las 23:47;1022.4 hPa el 21 a las 00:00;16.7 km/h el 21 a las 15:46;27.8 km/h  del 330°(NNO) el 21 a las 18:04
22;Marzo;2018;5.4°C;55%;-3.5°C;1023.6 hPa;1.2 km/h;3.1 km/h;295° (ONO);135.8 mm;180.0 mm;0.0 mm el 22 a las 23:59;12.8°C el 22 a las 17:44;-2.2°C el 22 a las 08:00;83% el 22 a las 08:19;32% el 22 a las 18:00;1026.6 hPa el 22 a las 00:07;1020.3 hPa el 22 a las 18:46;11.1 km/h el 22 a las 20:48;18.5 km/h  del 273°(O) el 22 a las 21:15
23;Marzo;2018;8.7°C;70%;3.3°C;1013.0 hPa;2.8 km/h;7.1 km/h;239° (OSO);137.0 mm;181.2 mm;0.2 mm el 23 a las 16:54;12.4°C el 23 a las 13:11;5.4°C el 23 a las 02:10;98% el 23 a las 21:16;51% el 23 a las 06:57;1020.5 hPa el 23 a las 00:03;1000.6 hPa el 23 a las 23:59;25.9 km/h el 23 a las 06:44;40.7 km/h  del 290°(ONO) el 23 a las 06:43
24;Marzo;2018;7.1°C;64%;0.5°C;1003.7 hPa;2.8 km/h;5.3 km/h;276° (O);139.6 mm;183.8 mm;0.2 mm el 24 a las 12:56;10.4°C el 24 a las 13:59;3.4°C el 24 a las 04:48;92% el 24 a las 00:56;52% el 24 a las 18:29;1008.3 hPa el 24 a las 23:44;1000.0 hPa el 24 a las 02:13;35.2 km/h el 23 a las 00:57;57.4 km/h  del 265°(O) el 24 a las 01:00
25;Marzo;2018;7.9°C;61%;0.5°C;1010.5 hPa;5.4 km/h;9.9 km/h;290° (ONO);139.6 mm;183.8 mm;0.0 mm el 25 a las 23:59;11.8°C el 25 a las 16:20;4.0°C el 25 a las 09:04;75% el 25 a las 09:23;45% el 25 a las 16:44;1016.4 hPa el 25 a las 23:59;1007.3 hPa el 25 a las 00:51;22.2 km/h el 25 a las 19:10;33.3 km/h  del 325°(NO) el 25 a las 21:10
26;Marzo;2018;9.4°C;54%;0.2°C;1021.3 hPa;5.9 km/h;10.8 km/h;294° (ONO);139.6 mm;183.8 mm;0.0 mm el 26 a las 23:59;14.4°C el 26 a las 17:26;4.1°C el 26 a las 07:44;73% el 26 a las 08:12;37% el 26 a las 16:35;1024.7 hPa el 26 a las 23:59;1016.5 hPa el 26 a las 00:13;18.5 km/h el 26 a las 18:15;31.5 km/h  del 292°(ONO) el 26 a las 18:00
27;Marzo;2018;13.7°C;55%;4.4°C;1023.9 hPa;4.4 km/h;8.9 km/h;280° (O);139.6 mm;183.8 mm;0.0 mm el 27 a las 23:59;19.7°C el 27 a las 16:30;8.3°C el 27 a las 04:46;76% el 27 a las 07:55;35% el 27 a las 19:00;1025.4 hPa el 27 a las 11:37;1022.2 hPa el 27 a las 20:56;20.4 km/h el 27 a las 08:42;35.2 km/h  del 272°(O) el 27 a las 08:42
28;Marzo;2018;14.9°C;48%;3.7°C;1016.7 hPa;2.3 km/h;6.1 km/h;246° (OSO);139.6 mm;183.8 mm;0.0 mm el 28 a las 23:59;20.3°C el 28 a las 17:04;8.9°C el 28 a las 08:43;72% el 28 a las 02:27;30% el 28 a las 11:51;1022.7 hPa el 28 a las 00:03;1011.4 hPa el 28 a las 20:36;14.8 km/h el 28 a las 16:41;29.6 km/h  del 158°(SSE) el 28 a las 15:40
29;Marzo;2018;10.9°C;66%;4.5°C;1009.3 hPa;2.0 km/h;6.0 km/h;219° (SO);139.6 mm;183.8 mm;0.0 mm el 29 a las 23:59;14.6°C el 29 a las 15:30;7.7°C el 29 a las 23:59;88% el 29 a las 09:28;43% el 29 a las 18:42;1012.5 hPa el 29 a las 00:18;1006.1 hPa el 29 a las 19:20;14.8 km/h el 29 a las 17:01;29.6 km/h  del 217°(SO) el 29 a las 17:00
30;Marzo;2018;7.2°C;70%;1.7°C;1005.7 hPa;3.6 km/h;9.9 km/h;228° (SO);143.6 mm;187.8 mm;0.2 mm el 30 a las 23:38;10.9°C el 30 a las 17:09;3.9°C el 30 a las 08:40;92% el 30 a las 23:59;43% el 30 a las 17:55;1007.3 hPa el 30 a las 00:35;1003.8 hPa el 30 a las 18:31;16.7 km/h el 30 a las 15:09;38.9 km/h  del 226°(SO) el 30 a las 17:29
1;Abril;2018;10.0°C;65%;3.2°C;1015.5 hPa;0.5 km/h;1.7 km/h;225° (SO);0.0 mm;188.0 mm;0.0 mm el 01 a las 00:00;16.9°C el 01 a las 18:15;2.8°C el 01 a las 08:36;88% el 01 a las 08:38;43% el 01 a las 18:26;1018.7 hPa el 01 a las 01:15;1010.4 hPa el 01 a las 00:00;11.1 km/h el 01 a las 16:12;18.5 km/h  del 122°(ESE) el 01 a las 16:11
